Talent,Skill,Level,Required Points
Spring,Eagle Eye,1,2
Spring,Eagle Eye,2,4
Spring,Eagle Eye,3,6
Spring,Eagle Eye,4,8
Spring,Eagle Eye,5,10
Spring,Spider Sense,1,1
Spring,Spider Sense,2,3
Spring,Spider Sense,3,5
Spring,Holy Counter,1,1
Spring,Holy Counter,2,3
Summer,Sharpen,1,5
Summer,Sharpen,2,10
Summer,Sharpen,3,15
Summer,Sharpen,4,20
Summer,Sharpen,5,25
Summer,Critical Strike,1,1
Summer,Critical Strike,2,2
Summer,Critical Strike,3,3
Autumn,Body Enhancement,1,5
Autumn,Body Enhancement,2,10
Autumn,Body Enhancement,3,15
Autumn,Body Enhancement,4,20
Autumn,Body Enhancement,5,25
Autumn,Block,1,1